"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"/home/yumelih/Projects/Developing/Individual/cryption/src/features/home/Features.jsx", "JavaScript JSX", 21, 0, 4, 25
"/home/yumelih/Projects/Developing/Individual/cryption/src/features/home/Header.jsx", "JavaScript JSX", 89, 0, 7, 96
"Total", "-", 110, 0, 11, 121
